Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn
Female,20.0,8.0,0.0,1.0,0,0,64105.26,1
Male,68.0,1.0,111787.6,2.0,0,0,148534.74,0
Female,63.0,4.0,188937.54,1.0,0,0,62118.71,1
Female,27.0,7.0,0.0,3.0,0,0,133937.73,1
Male,35.0,2.0,0.0,4.0,0,0,127263.95,0
Male,29.0,4.0,125205.63,4.0,0,0,76696.45,1
Female,69.0,10.0,152957.55,1.0,0,0,83366.06,0
Female,49.0,1.0,0.0,2.0,0,0,110849.96,0
Female,26.0,6.0,129365.78,4.0,0,0,137074.4,0
Female,54.0,6.0,0.0,2.0,0,0,55627.18,1
Female,42.0,6.0,0.0,1.0,0,0,37795.13,0
Male,23.0,8.0,0.0,1.0,0,0,94528.27,1
Male,38.0,10.0,84985.18,4.0,0,0,43968.22,1
Male,68.0,10.0,0.0,4.0,0,0,139016.78,0
Male,57.0,3.0,0.0,3.0,0,0,37550.17,0
Female,53.0,4.0,33240.76,3.0,0,0,10000000.0,1
Male,26.0,10.0,0.0,1.0,0,0,73663.16,1
Male,57.0,10.0,0.0,3.0,0,0,20304.12,0
Male,66.0,8.0,0.0,1.0,0,0,114133.43,1
Male,25.0,9.0,180769.4,3.0,0,0,26707.45,0
Male,49.0,10.0,0.0,3.0,0,0,81517.32,1
Male,32.0,5.0,0.0,4.0,0,0,74829.15,0
Male,48.0,4.0,169065.33,3.0,0,0,24810.99,0
Male,52.0,2.0,0.0,4.0,0,0,72583.11,1
Female,66.0,4.0,0.0,1.0,0,0,135177.11,1
Male,19.0,7.0,92926.63,2.0,0,0,44111.48,1
Male,49.0,3.0,14935.91,4.0,0,0,31510.64,1
Female,61.0,9.0,116570.68,3.0,0,0,31920.91,0
Female,37.0,5.0,0.0,3.0,0,0,58610.37,0
Male,35.0,5.0,0.0,1.0,0,0,75610.51,1
Male,41.0,4.0,44432.52,1.0,0,0,31623.43,1
Female,63.0,8.0,0.0,2.0,0,0,148851.92,1
Male,37.0,6.0,0.0,2.0,0,0,42948.64,1
Female,66.0,10.0,156137.31,1.0,0,0,145983.34,0
Female,52.0,4.0,0.0,3.0,0,0,118571.0,0
Male,41.0,3.0,163350.79,1.0,0,0,89806.67,1
Male,31.0,5.0,0.0,4.0,0,0,36836.94,0
Male,42.0,2.0,0.0,3.0,0,0,91611.46,1
Female,41.0,6.0,-10000.0,4.0,0,0,30536.01,1
Female,30.0,5.0,198303.59,4.0,0,0,87090.27,0
Female,20.0,8.0,132760.29,3.0,0,0,115408.29,1
Female,33.0,8.0,0.0,3.0,0,0,63421.15,1
Female,70.0,10.0,0.0,2.0,0,0,134612.83,0
Male,68.0,7.0,2023.89,3.0,0,0,138131.17,1
Male,19.0,7.0,0.0,2.0,0,0,92779.76,1
Male,51.0,8.0,163917.2,2.0,0,0,22395.6,0
Female,51.0,5.0,21399.44,4.0,0,0,28818.82,0
Female,34.0,6.0,142005.83,1.0,0,0,29710.27,0
Male,31.0,4.0,129867.16,1.0,0,0,28531.4,0
Male,64.0,20.0,0.0,2.0,0,0,80910.12,0
Male,52.0,9.0,0.0,1.0,0,0,48700.05,1
Male,31.0,4.0,0.0,3.0,0,0,39637.53,0
Female,38.0,5.0,128066.66,3.0,0,0,147917.09,0
Male,55.0,2.0,43407.84,1.0,0,0,67908.42,0
Female,33.0,8.0,0.0,1.0,0,0,39975.54,1
Male,67.0,4.0,0.0,4.0,0,0,138538.68,0
Female,37.0,9.0,0.0,1.0,0,0,52180.19,1
Female,65.0,9.0,33004.27,2.0,0,0,96734.31,1
Male,30.0,1.0,3312.49,2.0,0,0,82392.05,0
Male,49.0,9.0,172164.36,1.0,0,0,82465.9,1
Female,34.0,9.0,0.0,4.0,0,0,47345.45,1
Male,57.0,2.0,65965.8,1.0,0,0,65581.5,1
Male,69.0,10.0,79987.73,2.0,0,0,109630.45,0
Male,51.0,10.0,0.0,4.0,0,0,111841.84,1
Male,23.0,9.0,11342.29,1.0,0,0,133225.99,0
Male,37.0,7.0,132503.2,4.0,0,0,121898.23,0
Male,58.0,10.0,88282.84,2.0,0,0,104538.24,1
Female,68.0,10.0,66474.47,4.0,0,0,133338.26,0
Female,49.0,3.0,33172.84,2.0,0,0,63200.9,0
Female,20.0,10.0,0.0,1.0,0,0,46465.18,1
Male,66.0,5.0,0.0,4.0,0,0,64971.55,1
Female,37.0,8.0,0.0,4.0,0,0,23821.28,1
Male,53.0,2.0,119946.99,2.0,0,0,148977.33,0
Male,29.0,3.0,124970.35,1.0,0,0,37103.8,0
Female,65.0,7.0,126875.57,2.0,0,0,73694.05,1
Male,58.0,6.0,0.0,2.0,0,0,66700.34,1
Female,23.0,1.0,0.0,4.0,0,0,105375.77,1
Female,57.0,8.0,0.0,3.0,0,0,134882.26,1
Female,33.0,10.0,90306.74,2.0,0,0,78426.4,1
Female,29.0,1.0,51253.03,4.0,0,0,98719.96,1
Female,29.0,5.0,156576.28,4.0,0,0,132348.1,0
Female,120.0,2.0,0.0,3.0,0,0,26720.59,0
Male,52.0,6.0,0.0,1.0,0,0,96007.19,1
Male,37.0,5.0,0.0,3.0,0,0,62006.99,0
Female,56.0,8.0,103603.61,3.0,0,0,38154.66,1
Male,62.0,4.0,141231.47,4.0,0,0,146088.57,0
Male,25.0,6.0,173760.31,3.0,0,0,128954.99,0
Male,27.0,2.0,49585.31,4.0,0,0,119907.52,1
Female,42.0,4.0,0.0,3.0,0,0,71202.37,0
Male,43.0,2.0,199883.33,3.0,0,0,72898.03,0
Male,26.0,5.0,0.0,3.0,0,0,72538.24,0
Female,55.0,3.0,161761.34,1.0,0,0,76625.83,0
Male,41.0,6.0,0.0,3.0,0,0,99278.13,0
Male,36.0,9.0,119700.61,1.0,0,0,21906.72,0
Male,25.0,10.0,0.0,3.0,0,0,143692.21,0
Male,45.0,5.0,0.0,4.0,0,0,88461.09,0
Male,53.0,7.0,162784.16,4.0,0,0,22370.24,1
Male,33.0,5.0,0.0,4.0,0,0,27834.76,0
Male,39.0,3.0,0.0,4.0,0,0,57033.48,1
Female,64.0,3.0,116605.48,4.0,0,0,71987.68,0
Male,43.0,9.0,0.0,3.0,0,0,123971.54,1
Male,66.0,10.0,37860.46,4.0,0,0,31315.07,0
Male,61.0,8.0,0.0,3.0,0,0,102938.08,1
Male,45.0,9.0,0.0,2.0,0,0,66900.43,0
Female,41.0,1.0,0.0,4.0,0,0,126939.86,0
Female,27.0,9.0,20011.53,2.0,0,0,96259.1,1
Female,52.0,2.0,0.0,1.0,0,0,60595.33,1
Male,24.0,10.0,0.0,1.0,0,0,38430.67,1
Female,24.0,5.0,135492.41,2.0,0,0,114187.19,1
Male,41.0,3.0,121040.66,2.0,0,0,120440.95,1
Female,54.0,1.0,0.0,4.0,0,0,64662.86,0
Female,30.0,1.0,166540.76,1.0,0,0,103221.87,1
Male,25.0,2.0,136346.25,1.0,0,0,44742.23,1
Female,61.0,2.0,0.0,2.0,0,0,63364.04,0
Female,53.0,5.0,0.0,3.0,0,0,89657.6,1
Female,33.0,1.0,60869.77,4.0,0,0,69728.42,0
Male,68.0,8.0,4985.24,4.0,0,0,51675.37,0
Male,37.0,6.0,52152.41,3.0,0,0,99103.23,1
Female,69.0,2.0,13558.7,1.0,0,0,64417.69,1
Male,19.0,9.0,0.0,3.0,0,0,78136.33,0
Male,23.0,3.0,0.0,2.0,0,0,70835.56,1
Male,66.0,10.0,0.0,3.0,0,0,89222.56,0
Female,20.0,7.0,0.0,3.0,0,0,42558.19,1
Male,35.0,4.0,115035.24,1.0,0,0,82316.08,1
Female,48.0,1.0,121644.33,2.0,0,0,85333.59,0
Male,42.0,5.0,0.0,2.0,0,0,50231.68,1
Male,29.0,4.0,88462.83,3.0,0,0,48084.96,0
Female,40.0,3.0,0.0,3.0,0,0,47528.2,0
Female,67.0,8.0,0.0,3.0,0,0,29701.88,1
Male,63.0,3.0,36375.51,4.0,0,0,102314.65,0
Female,54.0,7.0,0.0,4.0,0,0,130242.07,0
Male,24.0,5.0,0.0,2.0,0,0,37394.49,0
Female,55.0,5.0,152297.67,4.0,0,0,47976.24,1
Male,67.0,5.0,0.0,1.0,0,0,68283.11,1
Male,28.0,5.0,0.0,1.0,0,0,39506.33,1
Female,35.0,8.0,0.0,4.0,0,0,71011.18,0
Male,66.0,9.0,21327.76,1.0,0,0,125154.85,1
Male,50.0,10.0,186133.46,4.0,0,0,-50000.0,1
Male,25.0,6.0,0.0,1.0,0,0,87393.04,1
Female,49.0,1.0,89211.34,1.0,0,0,117006.94,0
Female,68.0,8.0,0.0,1.0,0,0,70387.38,1
Male,53.0,4.0,0.0,3.0,0,0,42634.21,1
Female,47.0,6.0,153110.16,2.0,0,0,30682.32,0
Male,48.0,8.0,0.0,1.0,0,0,46739.34,1
Female,21.0,9.0,129136.95,3.0,0,0,145903.54,0
Female,29.0,8.0,0.0,1.0,0,0,87699.86,1
Female,51.0,10.0,68315.23,2.0,0,0,68381.71,1
Male,42.0,2.0,188672.09,4.0,0,0,45671.16,0
Male,38.0,3.0,134619.53,3.0,0,0,53596.11,0
Female,38.0,5.0,195701.06,4.0,0,0,43477.3,1
Female,39.0,6.0,196949.28,4.0,0,0,41425.93,1
Male,32.0,4.0,0.0,3.0,0,0,129291.39,0
Male,60.0,5.0,118479.19,3.0,0,0,93452.86,0
Female,56.0,9.0,0.0,4.0,0,0,21213.11,1
Male,22.0,3.0,198370.18,3.0,0,0,124009.23,0
Female,27.0,5.0,0.0,3.0,0,0,66199.99,0
Male,69.0,4.0,2040.69,2.0,0,0,116945.39,0
Female,51.0,5.0,0.0,4.0,0,0,59728.55,0
Female,54.0,10.0,0.0,4.0,0,0,135205.45,0
Male,54.0,6.0,83111.75,3.0,0,0,100546.61,0
Male,62.0,20.0,0.0,4.0,0,0,114042.62,1
Male,69.0,4.0,11507.99,2.0,0,0,98278.93,1
Male,36.0,1.0,0.0,2.0,0,0,116970.28,0
Male,70.0,4.0,103936.54,1.0,0,0,62665.06,0
Female,35.0,4.0,13445.9,3.0,0,0,115370.06,1
Male,50.0,1.0,127873.1,4.0,0,0,109168.47,0
Female,28.0,7.0,114802.58,1.0,0,0,67090.61,1
Male,30.0,1.0,117576.22,1.0,0,0,140850.2,0
Male,36.0,10.0,170692.88,3.0,0,0,80025.27,1
Female,38.0,10.0,187533.31,2.0,0,0,26479.46,0
Female,52.0,1.0,156262.4,2.0,0,0,49279.08,0
Male,48.0,4.0,131734.08,1.0,0,0,27417.11,0
Female,45.0,7.0,50148.78,2.0,0,0,55353.46,0
Male,59.0,9.0,155565.4,1.0,0,0,24369.77,1
Male,60.0,9.0,69838.17,1.0,0,0,31235.2,1
Male,49.0,0.0,110115.8,3.0,0,0,71148.22,0
Female,31.0,9.0,0.0,2.0,0,0,114270.24,1
Female,66.0,3.0,0.0,4.0,0,0,43792.01,1
Male,70.0,4.0,0.0,3.0,0,0,90863.72,0
Male,51.0,10.0,0.0,2.0,0,0,99677.02,1
Male,51.0,1.0,0.0,2.0,0,0,48091.76,1
Male,33.0,3.0,130543.72,4.0,0,0,86625.34,0
Female,27.0,3.0,0.0,1.0,0,0,53620.71,1
Male,21.0,4.0,104357.79,4.0,0,0,134345.64,0
Male,44.0,9.0,112476.27,2.0,0,0,91826.77,1
Female,20.0,8.0,57203.75,4.0,0,0,68351.25,0
Female,67.0,3.0,0.0,4.0,0,0,32224.69,0
Male,58.0,4.0,56011.9,3.0,0,0,45459.31,0
Female,35.0,10.0,90072.99,4.0,0,0,99751.51,1
Male,44.0,2.0,34601.99,1.0,0,0,24339.87,1
Male,49.0,5.0,88624.36,2.0,0,0,134714.13,0
Female,63.0,7.0,0.0,1.0,0,0,106829.6,1
Male,21.0,6.0,0.0,3.0,0,0,109291.93,1
Female,21.0,9.0,164768.73,2.0,0,0,146549.46,1
Male,26.0,4.0,183723.39,3.0,0,0,148448.52,0
Male,61.0,9.0,72201.85,2.0,0,0,63577.05,1
Female,38.0,8.0,0.0,1.0,0,0,137696.78,0
Female,35.0,10.0,0.0,4.0,0,0,115948.99,0
Female,47.0,3.0,0.0,4.0,0,0,60939.55,1
Male,64.0,7.0,34259.27,4.0,0,0,29447.21,1
Male,20.0,4.0,0.0,2.0,0,0,28905.7,0
Male,70.0,4.0,187722.66,1.0,0,0,122498.15,0
Male,35.0,3.0,0.0,3.0,0,0,34428.63,1
Female,55.0,4.0,76940.78,3.0,0,0,124306.06,0
Female,66.0,9.0,84867.36,2.0,0,0,36569.01,0
Female,63.0,3.0,0.0,1.0,0,0,147633.83,0
Male,26.0,7.0,0.0,3.0,0,0,48397.61,1
Female,53.0,8.0,0.0,4.0,0,0,56897.7,0
Female,70.0,3.0,46043.95,2.0,0,0,28383.87,0
Female,19.0,9.0,66751.19,1.0,0,0,101402.9,1
Female,66.0,3.0,54287.56,2.0,0,0,105647.26,1
Male,54.0,3.0,0.0,1.0,0,0,24243.94,0
Male,51.0,8.0,191209.07,1.0,0,0,30686.92,0
Female,63.0,9.0,68822.32,1.0,0,0,143254.08,0
Male,46.0,3.0,0.0,4.0,0,0,69986.47,0
Female,39.0,2.0,0.0,3.0,0,0,54964.66,1
Male,39.0,9.0,0.0,4.0,0,0,137959.42,1
Male,59.0,1.0,0.0,1.0,0,0,81066.69,0
Female,37.0,8.0,0.0,2.0,0,0,26434.59,0
Female,37.0,1.0,0.0,1.0,0,0,86646.8,1
Female,58.0,9.0,0.0,1.0,0,0,89107.93,0
Female,58.0,7.0,0.0,2.0,0,0,37093.59,1
Male,18.0,8.0,84943.81,4.0,0,0,112824.24,0
Female,65.0,1.0,0.0,4.0,0,0,20203.46,0
Male,40.0,7.0,9071.19,2.0,0,0,106487.97,0
Female,53.0,2.0,0.0,4.0,0,0,137041.76,0
Male,68.0,9.0,0.0,1.0,0,0,67049.6,1
Female,27.0,2.0,0.0,1.0,0,0,42340.3,0
Male,70.0,2.0,0.0,4.0,0,0,126601.64,0
Male,29.0,3.0,0.0,1.0,0,0,138317.5,0
Female,48.0,9.0,0.0,2.0,0,0,110024.07,1
Female,52.0,7.0,108964.34,2.0,0,0,49416.28,0
Male,20.0,9.0,86766.06,3.0,0,0,68252.42,0
Female,53.0,1.0,105636.71,4.0,0,0,103946.27,1
Female,18.0,1.0,0.0,1.0,0,0,69258.34,1
Female,64.0,1.0,21150.72,1.0,0,0,129424.04,0
Female,55.0,1.0,0.0,1.0,0,0,49703.28,0
Female,20.0,4.0,20761.14,2.0,0,0,73839.53,0
Female,23.0,5.0,0.0,2.0,0,0,144269.45,1
Female,40.0,6.0,120985.63,1.0,0,0,57492.71,0
Female,69.0,1.0,77716.87,2.0,0,0,40038.86,0
Female,51.0,6.0,0.0,3.0,0,0,127485.95,0
Male,66.0,5.0,69147.15,1.0,0,0,92502.15,1
Male,45.0,8.0,0.0,3.0,0,0,46950.17,1
Female,52.0,2.0,0.0,4.0,0,0,46170.57,1
Female,45.0,0.0,95633.66,2.0,0,0,145323.75,0
Male,28.0,6.0,107143.94,2.0,0,0,122766.27,1
Female,34.0,8.0,55877.75,2.0,0,0,39343.48,0
Female,65.0,4.0,0.0,3.0,0,0,57151.86,0
Male,41.0,7.0,0.0,4.0,0,0,95046.27,0
Female,31.0,2.0,0.0,3.0,0,0,124856.61,0
Female,26.0,8.0,0.0,1.0,0,0,136101.73,1
Male,55.0,3.0,0.0,3.0,0,0,140429.74,1
Female,49.0,6.0,0.0,3.0,0,0,37476.57,1
Female,33.0,2.0,0.0,4.0,0,0,123141.22,0
Female,67.0,8.0,198935.08,3.0,0,0,25741.05,1
Female,54.0,1.0,0.0,4.0,0,0,126850.46,0
Female,18.0,4.0,0.0,4.0,0,0,114009.43,1
Male,21.0,6.0,61921.33,3.0,0,0,95015.29,0
Female,62.0,3.0,104992.74,2.0,0,0,85081.15,0
Male,33.0,6.0,10994.98,2.0,0,0,58387.76,1
Male,56.0,3.0,160893.07,4.0,0,0,137794.43,1
Female,70.0,7.0,0.0,2.0,0,0,98454.1,1
Female,42.0,6.0,0.0,3.0,0,0,79013.09,0
Male,69.0,4.0,136840.83,2.0,0,0,126929.52,0
Male,39.0,4.0,0.0,4.0,0,0,84570.4,0
Female,35.0,8.0,0.0,1.0,0,0,61286.28,1
Male,46.0,10.0,143292.71,2.0,0,0,95824.65,1
Male,23.0,5.0,188149.25,1.0,0,0,127472.91,1
Male,26.0,2.0,63356.24,2.0,0,0,76396.26,0
Male,65.0,8.0,0.0,1.0,0,0,84195.83,1
Male,44.0,9.0,141067.56,3.0,0,0,112695.99,0
Male,50.0,8.0,0.0,4.0,0,0,58746.79,1
Female,36.0,3.0,129185.7,1.0,0,0,144383.98,0
Male,58.0,3.0,92082.22,4.0,0,0,68075.72,1
Female,58.0,2.0,110861.8,3.0,0,0,68251.01,0
Female,39.0,1.0,0.0,1.0,0,0,71315.47,0
Male,53.0,2.0,147682.21,4.0,0,0,108685.2,0
Female,18.0,4.0,0.0,2.503976143141153,0,0,127030.23,0
Female,70.0,5.0,0.0,1.0,0,0,128974.5,0
Female,31.0,10.0,0.0,3.0,0,0,137788.57,1
Male,46.0,9.0,192736.35,2.0,0,0,60542.3,0
Male,64.0,1.0,104737.91,4.0,0,0,22203.2,0
Male,47.0,9.0,24921.24,3.0,0,0,58130.12,0
Male,24.0,4.0,-10000.0,4.0,0,0,106190.95,0
Female,53.0,3.0,0.0,4.0,0,0,121448.9,1
Male,39.0,4.0,0.0,1.0,0,0,98427.93,0
Male,40.0,10.0,116859.54,1.0,0,0,88995.86,1
Female,28.0,6.0,0.0,2.0,0,0,38304.38,1
Male,27.0,3.0,0.0,4.0,0,0,70461.54,0
Male,60.0,1.0,69693.25,2.0,0,0,81098.47,0
Male,58.0,2.0,138329.22,1.0,0,0,49932.62,1
Female,50.0,2.0,61081.42,3.0,0,0,143379.26,0
Male,23.0,6.0,185803.4,2.0,0,0,43440.03,0
Female,20.0,6.0,89662.79,1.0,0,0,129674.46,0
Female,30.0,2.0,170903.2,4.0,0,0,45600.34,0
Female,65.0,8.0,142632.84,2.0,0,0,53740.43,0
Female,36.0,5.559086395233367,15543.23,2.0,0,0,44713.99,0
Female,51.0,1.0,0.0,4.0,0,0,118450.33,1
Male,25.0,4.0,0.0,3.0,0,0,41150.97,1
Female,39.0,6.0,0.0,2.0,0,0,69008.12,1
Female,60.0,5.0,45193.1,4.0,0,0,114751.99,1
Female,54.0,9.0,81150.12,1.0,0,0,137179.8,1
Male,44.0,2.0,198657.75,1.0,0,0,68324.13,1
Female,70.0,3.0,0.0,3.0,0,0,100865.14,0
Female,46.0,4.0,115194.41,4.0,0,0,137290.73,0
Male,37.0,4.0,0.0,3.0,0,0,49730.27,0
Female,39.0,2.0,0.0,1.0,0,0,113490.79,1
Female,38.0,3.0,0.0,3.0,0,0,75913.37,0
Male,43.0,8.0,80787.41,4.0,0,0,135555.37,0
Female,62.0,8.0,0.0,4.0,0,0,46919.86,1
Male,21.0,10.0,0.0,1.0,0,0,125414.22,1
Female,53.0,2.0,155007.34,2.0,0,0,87035.72,0
Female,70.0,8.0,0.0,1.0,0,0,91071.07,1
Female,23.0,5.0,144902.53,3.0,0,0,21311.78,0
Male,68.0,6.0,146139.61,4.0,0,0,106196.13,0
Male,22.0,7.0,122316.57,2.0,0,0,52865.77,1
